########################### 日本 #############################
beijing-s1 #a65a2a
beijing-airport #a292b3
beijing-yizhuang #d6006e
beijing-changping #de85bb
beijing-fangshan #dc6016
beijing-xijiao #e1261c

shinjiazhuang-1 #e53e30
shinjiazhuang-2 #00a1e0

